region_code,sido,sigungu,gu,eupmyeondong,level,region_name,total_population,elderly_65_plus,elderly_65_ratio,elderly_75_plus,elderly_75_ratio,elderly_85_plus,elderly_85_ratio,child_0_14,child_0_14_ratio,working_15_64,working_15_64_ratio,aging_index,pop_0_9,ratio_0_9,pop_10_19,ratio_10_19,pop_20_29,ratio_20_29,pop_30_39,ratio_30_39,pop_40_49,ratio_40_49,pop_50_59,ratio_50_59,pop_60_69,ratio_60_69,pop_70_79,ratio_70_79,pop_80_plus,ratio_80_plus,base_year
4711100000,경상북도,포항시 남구,북구,,sigungu,북구,275509,66327,24.07,23755,8.62,6014,2.18,30374.0,11.02,178808.0,64.9,218.4,17100.0,6.21,26018.0,9.44,23215.0,8.43,32995.0,11.98,39081.0,14.19,46707.0,16.95,48804.0,17.71,28840.0,10.47,12749.0,4.63,2026
4711125000,경상북도,포항시 남구,남구,구룡포읍,eupmyeondong,구룡포읍,6509,3415,52.47,1516,23.29,453,6.96,143.0,2.2,2951.0,45.34,2388.1,65.0,1.0,170.0,2.61,249.0,3.83,283.0,4.35,513.0,7.88,1056.0,16.22,1808.0,27.78,1438.0,22.09,927.0,14.24,2026
4711125300,경상북도,포항시 남구,남구,연일읍,eupmyeondong,연일읍,26633,6156,23.11,2002,7.52,448,1.68,2628.0,9.87,17849.0,67.02,234.2,1049.0,3.94,3139.0,11.79,2497.0,9.38,2074.0,7.79,3914.0,14.7,5215.0,19.58,5103.0,19.16,2645.0,9.93,997.0,3.74,2026
4711125600,경상북도,포항시 남구,남구,오천읍,eupmyeondong,오천읍,55927,9601,17.17,3150,5.63,818,1.46,6612.0,11.82,39714.0,71.01,145.2,3506.0,6.27,6131.0,10.96,5968.0,10.67,7232.0,12.93,9606.0,17.18,9936.0,17.77,7860.0,14.05,3989.0,7.13,1699.0,3.04,2026
4711131000,경상북도,포항시 남구,남구,대송면,eupmyeondong,대송면,2869,1470,51.24,581,20.25,148,5.16,62.0,2.16,1337.0,46.6,2371.0,23.0,0.8,78.0,2.72,106.0,3.69,183.0,6.38,221.0,7.7,399.0,13.91,887.0,30.92,665.0,23.18,307.0,10.7,2026
4711132000,경상북도,포항시 남구,남구,동해면,eupmyeondong,동해면,8837,3184,36.03,1311,14.84,347,3.93,588.0,6.65,5065.0,57.32,541.5,278.0,3.15,625.0,7.07,612.0,6.93,742.0,8.4,921.0,10.42,1550.0,17.54,1964.0,22.22,1385.0,15.67,760.0,8.6,2026
4711133000,경상북도,포항시 남구,남구,장기면,eupmyeondong,장기면,3561,2100,58.97,1086,30.5,383,10.76,72.0,2.02,1389.0,39.01,2916.7,32.0,0.9,88.0,2.47,85.0,2.39,138.0,3.88,220.0,6.18,510.0,14.32,916.0,25.72,884.0,24.82,688.0,19.32,2026
4711134000,경상북도,포항시 남구,,대보면,eupmyeondong,포항시 남구 대보면,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,2026
4711135000,경상북도,포항시 남구,남구,호미곶면,eupmyeondong,호미곶면,1614,911,56.44,464,28.75,134,8.3,35.0,2.17,668.0,41.39,2602.9,15.0,0.93,50.0,3.1,43.0,2.66,48.0,2.97,114.0,7.06,245.0,15.18,441.0,27.32,399.0,24.72,259.0,16.05,2026
4711151000,경상북도,포항시 남구,남구,상대1동,eupmyeondong,상대동,21689,7277,33.55,2525,11.64,405,1.87,1096.0,5.05,13316.0,61.4,664.0,530.0,2.44,1205.0,5.56,2056.0,9.48,2316.0,10.68,2656.0,12.25,3539.0,16.32,4666.0,21.51,3562.0,16.42,1159.0,5.34,2026
