region_code,has_care_worker,has_village_guardian,last_patrol_date
4711100000,1,1,2026-08-15
4711125000,0,0,
4711125300,0,0,
4711125600,0,1,2026-08-16
4711131000,0,1,2026-08-22
4711132000,1,1,2026-08-15
4711133000,0,1,2026-08-22
4711134000,0,1,2026-08-20
4711135000,1,1,2026-08-20
4711151000,1,1,2026-08-15
4711152000,1,0,2026-08-13
4711152500,0,0,
4711153000,1,1,2026-08-18
4711154000,1,1,2026-08-20
4711154500,1,1,2026-08-17
4711155000,1,0,2026-08-14
4711156000,0,1,2026-08-22
4711157000,1,0,2026-08-22
4711158000,0,1,2026-08-17
4711159000,1,0,2026-08-15
4711300000,1,1,2026-08-20
4711325000,1,1,2026-08-22
4711331000,1,1,2026-08-13
4711332000,0,1,2026-08-17
4711333000,0,1,2026-08-21
4711334000,1,1,2026-08-19
4711335000,1,1,2026-08-21
4711335500,1,0,2026-08-18
4711336000,0,1,2026-08-20
4711352000,1,1,2026-08-17
4711356000,1,0,2026-08-19
4711363000,0,1,2026-08-15
4711364000,1,1,2026-08-20
4711365000,1,1,2026-08-21
4711365500,1,1,2026-08-19
4711366500,1,1,2026-08-19
4711368000,0,0,
4711369000,0,1,2026-08-15
4711370000,1,1,2026-08-14
4711371000,1,0,2026-08-17
4713000000,1,1,2026-08-19
4713025000,1,1,2026-08-15
4713025300,1,1,2026-08-13
4713025600,1,0,2026-08-22
4713025900,0,0,
4713031000,1,1,2026-08-16
4713031500,1,1,2026-08-14
4713032000,1,1,2026-08-13
4713033000,0,1,2026-08-13
4713034000,0,1,2026-08-20
4713035000,1,1,2026-08-15
4713036000,1,1,2026-08-16
4713037000,1,1,2026-08-17
4713038000,1,1,2026-08-17
4713051500,1,1,2026-08-15
4713052000,1,1,2026-08-22
4713053000,1,0,2026-08-18
4713055000,0,1,2026-08-16
4713056000,0,0,
4713057000,1,0,2026-08-18
4713059000,1,1,2026-08-15
4713060500,1,1,2026-08-13
4713061500,1,0,2026-08-17
4713062100,1,0,2026-08-16
4713063000,1,0,2026-08-16
