emd_code,sido_name,sigungu_name,emd_name,center_lat,center_lon,grid_nx,grid_ny,announce_time,temperature,humidity,feels_like,risk_tier
4700000000,경상북도,,,36.394142,128.691316,90,102,20240805T14:00,35.5,65.0,36.4,위험
4711100000,경상북도,포항시 남구,포항시 남구,35.962993,129.430789,103,93,20240805T14:00,35.2,71.0,36.7,위험
4711125000,경상북도,포항시 남구,구룡포읍,35.984333,129.528889,105,94,20240805T14:00,34.7,74.0,36.4,위험
4711125300,경상북도,포항시 남구,연일읍,36.010193,129.307598,101,94,20240805T14:00,35.2,71.0,36.7,위험
4711125600,경상북도,포항시 남구,오천읍,35.922702,129.391507,103,92,20240805T14:00,35.2,71.0,36.7,위험
4711131000,경상북도,포항시 남구,대송면,35.94137,129.349373,102,93,20240805T14:00,35.2,71.0,36.7,위험
4711132000,경상북도,포항시 남구,동해면,36.004211,129.48682,104,94,20240805T14:00,34.7,74.0,36.4,위험
4711133000,경상북도,포항시 남구,장기면,35.907819,129.475464,104,92,20240805T14:00,35.2,71.0,36.7,위험
4711134000,경상북도,포항시 남구,대보면,36.056479,129.55081,105,95,20240805T14:00,35.2,71.0,36.7,위험
4711135000,경상북도,포항시 남구,호미곶면,36.056479,129.55081,105,95,20240805T14:00,34.7,74.0,36.4,위험
4711151000,경상북도,포항시 남구,상대1동,35.184237,128.113714,81,75,20240805T14:00,35.6,69.0,36.9,위험
4711152000,경상북도,포항시 남구,상대2동,35.184237,128.113714,81,75,20240805T14:00,35.6,69.0,36.9,위험
4711152500,경상북도,포항시 남구,상대동,36.014784,129.359298,102,94,20240805T14:00,35.6,69.0,36.9,위험
4711153000,경상북도,포항시 남구,해도1동,36.020387,129.372834,102,94,20240805T14:00,35.6,69.0,36.9,위험
4711154000,경상북도,포항시 남구,해도2동,36.020387,129.372834,102,94,20240805T14:00,35.6,69.0,36.9,위험
4711154500,경상북도,포항시 남구,해도동,36.020387,129.372834,102,94,20240805T14:00,35.6,69.0,36.9,위험
4711155000,경상북도,포항시 남구,송도동,36.036849,129.375022,102,95,20240805T14:00,35.6,69.0,36.9,위험
4711156000,경상북도,포항시 남구,청림동,35.99238,129.415599,103,94,20240805T14:00,35.6,69.0,36.9,위험
4711157000,경상북도,포항시 남구,제철동,35.997764,129.383559,103,94,20240805T14:00,35.6,69.0,36.9,위험
4711158000,경상북도,포항시 남구,효곡동,36.020058,129.321683,101,94,20240805T14:00,35.6,69.0,36.9,위험
4711159000,경상북도,포항시 남구,대이동,36.025504,129.338077,102,94,20240805T14:00,35.6,69.0,36.9,위험
4711300000,경상북도,포항시 북구,포항시 북구,36.174294,129.193396,99,97,20240805T14:00,35.0,72.0,36.6,위험
4711325000,경상북도,포항시 북구,흥해읍,36.105144,129.360459,102,96,20240805T14:00,34.5,75.0,36.3,위험
4711331000,경상북도,포항시 북구,신광면,36.146383,129.257959,100,97,20240805T14:00,35.0,72.0,36.6,위험
4711332000,경상북도,포항시 북구,청하면,36.197029,129.318057,101,98,20240805T14:00,35.0,72.0,36.6,위험
4711333000,경상북도,포항시 북구,송라면,36.243174,129.345043,102,99,20240805T14:00,35.0,72.0,36.6,위험
4711334000,경상북도,포항시 북구,기계면,36.085185,129.170237,99,96,20240805T14:00,35.0,72.0,36.6,위험
4711335000,경상북도,포항시 북구,죽장면,36.222444,129.160913,98,99,20240805T14:00,35.0,72.0,36.6,위험
4711335500,경상북도,포항시 북구,죽장면상옥출장소,36.019032,129.343386,102,94,20240805T14:00,35.0,72.0,36.6,위험
4711336000,경상북도,포항시 북구,기북면,36.154473,129.1843,99,97,20240805T14:00,34.4,73.0,36.0,위험
4711352000,경상북도,포항시 북구,중앙동,36.046306,129.366932,102,95,20240805T14:00,35.4,70.0,36.8,위험
4711356000,경상북도,포항시 북구,학산동,36.046306,129.366932,102,95,20240805T14:00,35.4,70.0,36.8,위험
4711363000,경상북도,포항시 북구,양학동,36.032202,129.345114,102,95,20240805T14:00,35.4,70.0,36.8,위험
4711364000,경상북도,포항시 북구,죽도1동,36.025493,129.358129,102,94,20240805T14:00,35.4,70.0,36.8,위험
4711365000,경상북도,포항시 북구,죽도2동,36.025493,129.358129,102,94,20240805T14:00,35.4,70.0,36.8,위험
4711365500,경상북도,포항시 북구,죽도동,36.025493,129.358129,102,94,20240805T14:00,35.4,70.0,36.8,위험
4711366500,경상북도,포항시 북구,용흥동,36.039569,129.350846,102,95,20240805T14:00,35.4,70.0,36.8,위험
4711368000,경상북도,포항시 북구,우창동,36.063656,129.357828,102,95,20240805T14:00,35.4,70.0,36.8,위험
4711369000,경상북도,포항시 북구,두호동,36.063924,129.391375,103,95,20240805T14:00,35.4,70.0,36.8,위험
4711370000,경상북도,포항시 북구,장량동,36.081037,129.385988,103,96,20240805T14:00,35.4,70.0,36.8,위험
4711371000,경상북도,포항시 북구,환여동,36.072497,129.399897,103,95,20240805T14:00,35.4,70.0,36.8,위험
4713000000,경상북도,경주시,경주시,35.859593,129.207894,100,91,20240805T14:00,35.5,65.0,36.4,위험
4713025000,경상북도,경주시,감포읍,35.797878,129.471632,104,90,20240805T14:00,35.0,68.0,36.2,위험
4713025300,경상북도,경주시,안강읍,35.980304,129.179591,99,93,20240805T14:00,35.0,68.0,36.2,위험
4713025600,경상북도,경주시,건천읍,35.837043,129.089258,98,90,20240805T14:00,35.5,65.0,36.4,위험
4713025900,경상북도,경주시,외동읍,35.71326,129.317514,102,88,20240805T14:00,35.5,65.0,36.4,위험
4713031000,경상북도,경주시,양북면,35.802658,129.400441,103,90,20240805T14:00,34.9,66.0,35.9,위험
4713031500,경상북도,경주시,문무대왕면,35.803267,129.400688,103,90,20240805T14:00,35.5,65.0,36.4,위험
4713032000,경상북도,경주시,양남면,35.703817,129.419931,103,87,20240805T14:00,35.5,65.0,36.4,위험
