region_code,year,case_count,death_count
4729000000,2023,4,0
4729000000,2024,5,0
4729000000,2025,5,0
4713000000,2023,23,0
4713000000,2024,24,0
4713000000,2025,29,0
4782000000,2023,1,0
4782000000,2024,4,0
4782000000,2025,1,0
4719000000,2023,53,0
4719000000,2024,60,0
4719000000,2025,55,0
4715000000,2023,7,0
4715000000,2024,24,0
4715000000,2025,28,0
4728000000,2023,16,0
4728000000,2024,9,0
4728000000,2025,19,0
4790000000,2023,4,0
4790000000,2024,6,0
4790000000,2025,12,0
4725000000,2023,8,0
4725000000,2024,8,0
4725000000,2025,24,0
4783000000,2023,1,0
4783000000,2024,4,0
4783000000,2025,6,0
4717000000,2023,28,0
4717000000,2024,21,0
4717000000,2025,32,0
4776000000,2023,5,0
4776000000,2024,1,0
4776000000,2025,7,0
4775000000,2023,1,0
4775000000,2024,2,0
4775000000,2025,2,0
4721000000,2023,7,0
4721000000,2024,7,0
4721000000,2025,18,0
4723000000,2023,1,0
4723000000,2024,1,0
4723000000,2025,5,0
4785000000,2023,7,0
4785000000,2024,11,0
4785000000,2025,14,0
4793000000,2023,5,0
4793000000,2024,4,0
4793000000,2025,10,0
4792000000,2023,12,0
4792000000,2024,11,0
4792000000,2025,22,0
4772000000,2023,14,0
4772000000,2024,6,0
4772000000,2025,9,0
4777000000,2023,4,0
4777000000,2024,5,0
4777000000,2025,5,0
4773000000,2023,2,0
4773000000,2024,5,0
4773000000,2025,5,0
4784000000,2023,13,0
4784000000,2024,6,0
4784000000,2025,13,0
4711100000,2023,24,0
4711300000,2023,23,0
4711100000,2024,36,0
4711300000,2024,35,0
4711100000,2025,58,0
4711300000,2025,57,0
