region_code,sido,sigungu,gu,eupmyeondong,level,region_name,total_population,elderly_65_plus,elderly_65_ratio,elderly_75_plus,elderly_75_ratio,elderly_85_plus,elderly_85_ratio,child_0_14,child_0_14_ratio,working_15_64,working_15_64_ratio,aging_index,pop_0_9,ratio_0_9,pop_10_19,ratio_10_19,pop_20_29,ratio_20_29,pop_30_39,ratio_30_39,pop_40_49,ratio_40_49,pop_50_59,ratio_50_59,pop_60_69,ratio_60_69,pop_70_79,ratio_70_79,pop_80_plus,ratio_80_plus,farmer_ratio,solitary_elderly,base_year
4711100000,경상북도,포항시 남구,북구,,sigungu,북구,275509,66327,24.07,23755,8.62,6014,2.18,30374,11.02,178808,64.9,218.4,17100,6.21,26018,9.44,23215,8.43,32995,11.98,39081,14.19,46707,16.95,48804,17.71,28840,10.47,12749,4.63,0.0481,16581,2026
4711125000,경상북도,포항시 남구,남구,구룡포읍,eupmyeondong,구룡포읍,6509,3415,52.47,1516,23.29,453,6.96,143,2.2,2951,45.34,2388.1,65,1.0,170,2.61,249,3.83,283,4.35,513,7.88,1056,16.22,1808,27.78,1438,22.09,927,14.24,0.2099,853,2026
4711125300,경상북도,포항시 남구,남구,연일읍,eupmyeondong,연일읍,26633,6156,23.11,2002,7.52,448,1.68,2628,9.87,17849,67.02,234.2,1049,3.94,3139,11.79,2497,9.38,2074,7.79,3914,14.7,5215,19.58,5103,19.16,2645,9.93,997,3.74,0.0924,1539,2026
4711125600,경상북도,포항시 남구,남구,오천읍,eupmyeondong,오천읍,55927,9601,17.17,3150,5.63,818,1.46,6612,11.82,39714,71.01,145.2,3506,6.27,6131,10.96,5968,10.67,7232,12.93,9606,17.18,9936,17.77,7860,14.05,3989,7.13,1699,3.04,0.0687,2400,2026
4711131000,경상북도,포항시 남구,남구,대송면,eupmyeondong,대송면,2869,1470,51.24,581,20.25,148,5.16,62,2.16,1337,46.6,2371.0,23,0.8,78,2.72,106,3.69,183,6.38,221,7.7,399,13.91,887,30.92,665,23.18,307,10.7,0.3843,367,2026
4711132000,경상북도,포항시 남구,남구,동해면,eupmyeondong,동해면,8837,3184,36.03,1311,14.84,347,3.93,588,6.65,5065,57.32,541.5,278,3.15,625,7.07,612,6.93,742,8.4,921,10.42,1550,17.54,1964,22.22,1385,15.67,760,8.6,0.2702,796,2026
4711133000,경상북도,포항시 남구,남구,장기면,eupmyeondong,장기면,3561,2100,58.97,1086,30.5,383,10.76,72,2.02,1389,39.01,2916.7,32,0.9,88,2.47,85,2.39,138,3.88,220,6.18,510,14.32,916,25.72,884,24.82,688,19.32,0.4423,525,2026
4711134000,경상북도,포항시 남구,,대보면,eupmyeondong,포항시 남구 대보면,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,0.35,300,2026
4711135000,경상북도,포항시 남구,남구,호미곶면,eupmyeondong,호미곶면,1614,911,56.44,464,28.75,134,8.3,35,2.17,668,41.39,2602.9,15,0.93,50,3.1,43,2.66,48,2.97,114,7.06,245,15.18,441,27.32,399,24.72,259,16.05,0.4233,227,2026
4711151000,경상북도,포항시 남구,남구,상대1동,eupmyeondong,상대동,21689,7277,33.55,2525,11.64,405,1.87,1096,5.05,13316,61.4,664.0,530,2.44,1205,5.56,2056,9.48,2316,10.68,2656,12.25,3539,16.32,4666,21.51,3562,16.42,1159,5.34,0.0671,1819,2026
4711152000,경상북도,포항시 남구,남구,상대2동,eupmyeondong,상대동,21689,7277,33.55,2525,11.64,405,1.87,1096,5.05,13316,61.4,664.0,530,2.44,1205,5.56,2056,9.48,2316,10.68,2656,12.25,3539,16.32,4666,21.51,3562,16.42,1159,5.34,0.0671,1819,2026
4711152500,경상북도,포항시 남구,남구,상대동,eupmyeondong,상대동,21689,7277,33.55,2525,11.64,405,1.87,1096,5.05,13316,61.4,664.0,530,2.44,1205,5.56,2056,9.48,2316,10.68,2656,12.25,3539,16.32,4666,21.51,3562,16.42,1159,5.34,0.0671,1819,2026
4711153000,경상북도,포항시 남구,남구,해도1동,eupmyeondong,해도동,14965,6102,40.78,2261,15.11,396,2.65,575,3.84,8288,55.38,1061.2,272,1.82,628,4.2,974,6.51,1202,8.03,1654,11.05,2504,16.73,3700,24.72,2941,19.65,1090,7.28,0.0816,1525,2026
4711154000,경상북도,포항시 남구,남구,해도2동,eupmyeondong,해도동,14965,6102,40.78,2261,15.11,396,2.65,575,3.84,8288,55.38,1061.2,272,1.82,628,4.2,974,6.51,1202,8.03,1654,11.05,2504,16.73,3700,24.72,2941,19.65,1090,7.28,0.0816,1525,2026
4711154500,경상북도,포항시 남구,남구,해도동,eupmyeondong,해도동,14965,6102,40.78,2261,15.11,396,2.65,575,3.84,8288,55.38,1061.2,272,1.82,628,4.2,974,6.51,1202,8.03,1654,11.05,2504,16.73,3700,24.72,2941,19.65,1090,7.28,0.0816,1525,2026
4711155000,경상북도,포항시 남구,남구,송도동,eupmyeondong,송도동,10590,4829,45.6,1878,17.73,395,3.73,387,3.65,5374,50.75,1247.8,185,1.75,475,4.49,601,5.68,657,6.2,1067,10.08,1647,15.55,2674,25.25,2334,22.04,950,8.97,0.0912,1207,2026
4711156000,경상북도,포항시 남구,남구,청림동,eupmyeondong,청림동,4395,1546,35.18,647,14.72,140,3.19,207,4.71,2642,60.11,746.9,128,2.91,190,4.32,506,11.51,579,13.17,412,9.37,631,14.36,899,20.46,721,16.41,329,7.49,0.0704,386,2026
4711157000,경상북도,포항시 남구,남구,제철동,eupmyeondong,제철동,2251,633,28.12,224,9.95,47,2.09,133,5.91,1485,65.97,475.9,59,2.62,166,7.37,269,11.95,247,10.97,248,11.02,389,17.28,484,21.5,279,12.39,110,4.89,0.0562,158,2026
4711158000,경상북도,포항시 남구,남구,효곡동,eupmyeondong,효곡동,28675,4192,14.62,971,3.39,162,0.56,5406,18.85,19077,66.53,77.5,2728,9.51,4556,15.89,2457,8.57,3008,10.49,5607,19.55,4254,14.84,3698,12.9,1992,6.95,375,1.31,0.0292,1048,2026
4711159000,경상북도,포항시 남구,남구,대이동,eupmyeondong,대이동,22994,3575,15.55,1105,4.81,284,1.24,2575,11.2,16844,73.25,138.8,1428,6.21,2398,10.43,2564,11.15,2925,12.72,3429,14.91,4773,20.76,3399,14.78,1486,6.46,592,2.57,0.0311,893,2026
4711300000,경상북도,포항시 북구,북구,,sigungu,북구,275509,66327,24.07,23755,8.62,6014,2.18,30374,11.02,178808,64.9,218.4,17100,6.21,26018,9.44,23215,8.43,32995,11.98,39081,14.19,46707,16.95,48804,17.71,28840,10.47,12749,4.63,0.0481,16581,2026
4711325000,경상북도,포항시 북구,북구,흥해읍,eupmyeondong,흥해읍,60374,11012,18.24,3901,6.46,1114,1.85,8398,13.91,40964,67.85,131.1,5546,9.19,5358,8.87,4988,8.26,9910,16.41,8823,14.61,9974,16.52,9114,15.1,4437,7.35,2224,3.68,0.073,2753,2026
4711331000,경상북도,포항시 북구,북구,신광면,eupmyeondong,신광면,2700,1547,57.3,681,25.22,245,9.07,70,2.59,1083,40.11,2210.0,33,1.22,75,2.78,93,3.44,98,3.63,153,5.67,354,13.11,839,31.07,621,23.0,434,16.07,0.4297,386,2026
4711332000,경상북도,포항시 북구,북구,청하면,eupmyeondong,청하면,4165,2143,51.45,1036,24.87,332,7.97,114,2.74,1908,45.81,1879.8,45,1.08,144,3.46,175,4.2,184,4.42,299,7.18,661,15.87,1106,26.55,895,21.49,656,15.75,0.3859,535,2026
4711333000,경상북도,포항시 북구,북구,송라면,eupmyeondong,송라면,2289,1241,54.22,620,27.09,220,9.61,50,2.18,998,43.6,2482.0,23,1.0,52,2.27,91,3.98,95,4.15,153,6.68,344,15.03,618,27.0,515,22.5,398,17.39,0.4067,310,2026
4711334000,경상북도,포항시 북구,북구,기계면,eupmyeondong,기계면,4646,2577,55.47,1205,25.94,406,8.74,113,2.43,1956,42.1,2280.5,64,1.38,131,2.82,157,3.38,187,4.02,266,5.73,615,13.24,1381,29.72,1076,23.16,769,16.55,0.416,644,2026
4711335000,경상북도,포항시 북구,북구,죽장면,eupmyeondong,죽장면,2634,1595,60.55,704,26.73,245,9.3,37,1.4,1002,38.04,4310.8,11,0.42,54,2.05,59,2.24,62,2.35,108,4.1,374,14.2,904,34.32,639,24.26,423,16.06,0.4541,398,2026
4711335500,경상북도,포항시 북구,,죽장면상옥출장소,eupmyeondong,포항시 북구 죽장면상옥출장소,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,0.15,300,2026
4711336000,경상북도,포항시 북구,북구,기북면,eupmyeondong,기북면,1279,741,57.94,339,26.51,114,8.91,19,1.49,519,40.58,3900.0,9,0.7,30,2.35,38,2.97,33,2.58,67,5.24,195,15.25,387,30.26,299,23.38,221,17.28,0.4345,185,2026
4711352000,경상북도,포항시 북구,북구,중앙동,eupmyeondong,중앙동,14178,5146,36.3,2206,15.56,547,3.86,801,5.65,8231,58.05,642.4,447,3.15,737,5.2,1158,8.17,1567,11.05,1613,11.38,2208,15.57,2856,20.14,2404,16.96,1188,8.38,0.0726,1286,2026
4711356000,경상북도,포항시 북구,,학산동,eupmyeondong,포항시 북구 학산동,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,0.15,300,2026
4711363000,경상북도,포항시 북구,북구,양학동,eupmyeondong,양학동,18805,3801,20.21,1162,6.18,221,1.18,2252,11.98,12752,67.81,168.8,1292,6.87,1896,10.08,1660,8.83,2469,13.13,2690,14.3,3355,17.84,3212,17.08,1691,8.99,540,2.87,0.0404,950,2026
4711364000,경상북도,포항시 북구,북구,죽도1동,eupmyeondong,죽도동,17555,6484,36.94,2563,14.6,510,2.91,742,4.23,10329,58.84,873.9,369,2.1,769,4.38,1567,8.93,1834,10.45,2116,12.05,2746,15.64,3747,21.34,3087,17.58,1320,7.52,0.0739,1621,2026
4711365000,경상북도,포항시 북구,북구,죽도2동,eupmyeondong,죽도동,17555,6484,36.94,2563,14.6,510,2.91,742,4.23,10329,58.84,873.9,369,2.1,769,4.38,1567,8.93,1834,10.45,2116,12.05,2746,15.64,3747,21.34,3087,17.58,1320,7.52,0.0739,1621,2026
4711365500,경상북도,포항시 북구,북구,죽도동,eupmyeondong,죽도동,17555,6484,36.94,2563,14.6,510,2.91,742,4.23,10329,58.84,873.9,369,2.1,769,4.38,1567,8.93,1834,10.45,2116,12.05,2746,15.64,3747,21.34,3087,17.58,1320,7.52,0.0739,1621,2026
4711366500,경상북도,포항시 북구,북구,용흥동,eupmyeondong,용흥동,18669,6067,32.5,2176,11.66,468,2.51,1397,7.48,11205,60.02,434.3,654,3.5,1519,8.14,1420,7.61,1452,7.78,2312,12.38,3373,18.07,4001,21.43,2842,15.22,1096,5.87,0.065,1516,2026
4711368000,경상북도,포항시 북구,북구,우창동,eupmyeondong,우창동,29727,6421,21.6,2039,6.86,492,1.66,3674,12.36,19632,66.04,174.8,1999,6.72,3225,10.85,2303,7.75,3447,11.6,4614,15.52,5044,16.97,5309,17.86,2742,9.22,1044,3.51,0.0432,1605,2026
4711369000,경상북도,포항시 북구,북구,두호동,eupmyeondong,두호동,19913,5062,25.42,1558,7.82,327,1.64,2005,10.07,12846,64.51,252.5,1112,5.58,1871,9.4,1615,8.11,2154,10.82,2549,12.8,3589,18.02,4022,20.2,2250,11.3,751,3.77,0.0508,1265,2026
4711370000,경상북도,포항시 북구,북구,장량동,eupmyeondong,장량동,70456,10402,14.76,2850,4.05,642,0.91,9802,13.91,50252,71.32,106.1,5074,7.2,9168,13.01,7314,10.38,8750,12.42,12039,17.09,12506,17.75,9902,14.05,4328,6.14,1375,1.95,0.0295,2600,2026
4711371000,경상북도,포항시 북구,북구,환여동,eupmyeondong,환여동,8119,2088,25.72,715,8.81,131,1.61,900,11.09,5131,63.2,232.0,422,5.2,989,12.18,577,7.11,753,9.27,1279,15.75,1369,16.86,1406,17.32,1014,12.49,310,3.82,0.0514,522,2026
4713000000,경상북도,경주시,,,sigungu,경주시,242880,72534,29.86,30441,12.53,8731,3.59,20037,8.25,150309,61.89,362.0,11079,4.56,18562,7.64,19635,8.08,23109,9.51,29722,12.24,44172,18.19,48176,19.84,30805,12.68,17620,7.25,0.0597,18133,2026
4713025000,경상북도,경주시,,감포읍,eupmyeondong,감포읍,4991,2336,46.8,1100,22.04,317,6.35,136,2.72,2519,50.47,1717.6,71,1.42,182,3.65,252,5.05,265,5.31,439,8.8,852,17.07,1272,25.49,986,19.76,672,13.46,0.1872,584,2026
4713025300,경상북도,경주시,,안강읍,eupmyeondong,안강읍,21412,8024,37.47,3603,16.83,1069,4.99,1103,5.15,12285,57.37,727.5,477,2.23,1418,6.62,1388,6.48,1389,6.49,2044,9.55,4170,19.48,5016,23.43,3433,16.03,2077,9.7,0.1499,2006,2026
4713025600,경상북도,경주시,,건천읍,eupmyeondong,건천읍,14869,4464,30.02,1911,12.85,569,3.83,1182,7.95,9223,62.03,377.7,852,5.73,733,4.93,1138,7.65,1970,13.25,1645,11.06,2615,17.59,2893,19.46,1913,12.87,1110,7.47,0.1201,1116,2026
4713025900,경상북도,경주시,,외동읍,eupmyeondong,외동읍,21487,6496,30.23,2502,11.64,736,3.43,1656,7.71,13335,62.06,392.3,1111,5.17,1116,5.19,1296,6.03,2265,10.54,2699,12.56,3907,18.18,5033,23.42,2661,12.38,1399,6.51,0.1209,1624,2026
4713031000,경상북도,경주시,,양북면,eupmyeondong,경주시 양북면,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,0.35,300,2026
4713031500,경상북도,경주시,,문무대왕면,eupmyeondong,문무대왕면,3947,1698,43.02,803,20.34,267,6.76,166,4.21,2083,52.77,1022.9,126,3.19,125,3.17,300,7.6,464,11.76,268,6.79,559,14.16,898,22.75,684,17.33,523,13.25,0.3226,424,2026
4713032000,경상북도,경주시,,양남면,eupmyeondong,양남면,6218,2402,38.63,943,15.17,289,4.65,308,4.95,3508,56.42,779.9,160,2.57,313,5.03,395,6.35,430,6.92,588,9.46,1175,18.9,1624,26.12,953,15.33,580,9.33,0.2897,600,2026
4713033000,경상북도,경주시,,내남면,eupmyeondong,내남면,4267,2306,54.04,1093,25.62,370,8.67,111,2.6,1850,43.36,2077.5,47,1.1,141,3.3,167,3.91,178,4.17,266,6.23,597,13.99,1234,28.92,944,22.12,693,16.24,0.4053,576,2026
4713034000,경상북도,경주시,,산내면,eupmyeondong,산내면,3108,1864,59.97,823,26.48,238,7.66,50,1.61,1194,38.42,3728.0,25,0.8,59,1.9,68,2.19,100,3.22,161,5.18,402,12.93,1022,32.88,779,25.06,492,15.83,0.4498,466,2026
4713035000,경상북도,경주시,,서면,eupmyeondong,서면,2885,1570,54.42,806,27.94,233,8.08,76,2.63,1239,42.95,2065.8,39,1.35,102,3.54,103,3.57,127,4.4,179,6.2,425,14.73,751,26.03,675,23.4,484,16.78,0.4082,392,2026
4713036000,경상북도,경주시,,현곡면,eupmyeondong,현곡면,21403,4033,18.84,1464,6.84,414,1.93,2993,13.98,14377,67.17,134.7,1736,8.11,2387,11.15,1730,8.08,2483,11.6,3305,15.44,4009,18.73,3278,15.32,1668,7.79,807,3.77,0.1413,1008,2026
4713037000,경상북도,경주시,,강동면,eupmyeondong,강동면,5701,2586,45.36,1166,20.45,380,6.67,177,3.1,2938,51.53,1461.0,84,1.47,196,3.44,362,6.35,314,5.51,395,6.93,1045,18.33,1512,26.52,1087,19.07,706,12.38,0.3402,646,2026
4713038000,경상북도,경주시,,천북면,eupmyeondong,천북면,5333,2022,37.91,925,17.34,278,5.21,308,5.78,3003,56.31,656.5,183,3.43,270,5.06,293,5.49,463,8.68,568,10.65,938,17.59,1207,22.63,866,16.24,545,10.22,0.2843,505,2026
4713051500,경상북도,경주시,,중부동,eupmyeondong,경주시 중부동,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,0.15,300,2026
4713052000,경상북도,경주시,,성동동,eupmyeondong,성건동,12204,4464,36.58,1984,16.26,439,3.6,400,3.28,7340,60.14,1116.0,202,1.66,623,5.1,1962,16.08,922,7.55,1031,8.45,1976,16.19,2305,18.89,2134,17.49,1049,8.6,0.0732,1116,2026
4713053000,경상북도,경주시,,황오동,eupmyeondong,황오동,9451,4109,43.48,1914,20.25,503,5.32,308,3.26,5034,53.26,1334.1,146,1.54,400,4.23,711,7.52,699,7.4,947,10.02,1488,15.74,2085,22.06,1867,19.75,1108,11.72,0.087,1027,2026
4713055000,경상북도,경주시,,성건동,eupmyeondong,성건동,12204,4464,36.58,1984,16.26,439,3.6,400,3.28,7340,60.14,1116.0,202,1.66,623,5.1,1962,16.08,922,7.55,1031,8.45,1976,16.19,2305,18.89,2134,17.49,1049,8.6,0.0732,1116,2026
4713056000,경상북도,경주시,,탑정동,eupmyeondong,경주시 탑정동,3500,1200,34.29,540,15.43,144,4.11,,,,,,,,,,,,,,,,,,,,,,,,0.15,300,2026
4713057000,경상북도,경주시,,황남동,eupmyeondong,황남동,3552,1774,49.94,909,25.59,303,8.53,89,2.51,1689,47.55,1993.3,43,1.21,121,3.41,145,4.08,187,5.26,299,8.42,578,16.27,853,24.01,750,21.11,576,16.22,0.0999,443,2026
4713059000,경상북도,경주시,,선도동,eupmyeondong,선도동,13492,3161,23.43,1294,9.59,384,2.85,1197,8.87,9134,67.7,264.1,528,3.91,1398,10.36,1355,10.04,1185,8.78,1925,14.27,2680,19.86,2310,17.12,1388,10.29,723,5.36,0.0469,790,2026
4713060500,경상북도,경주시,,월성동,eupmyeondong,월성동,5176,2008,38.79,927,17.91,268,5.18,356,6.88,2812,54.33,564.0,150,2.9,366,7.07,284,5.49,338,6.53,541,10.45,939,18.14,1168,22.57,846,16.34,544,10.51,0.0776,502,2026
4713061500,경상북도,경주시,,용강동,eupmyeondong,용강동,24683,3677,14.9,1271,5.15,350,1.42,4123,16.7,16883,68.4,89.2,2359,9.56,3136,12.71,1890,7.66,3149,12.76,4527,18.34,4141,16.78,3276,13.27,1486,6.02,719,2.91,0.0298,919,2026
4713062100,경상북도,경주시,,황성동,eupmyeondong,황성동,27969,4678,16.73,1596,5.71,412,1.47,3279,11.72,20012,71.55,142.7,1676,5.99,3349,11.97,2953,10.56,3082,11.02,4218,15.08,5726,20.47,4207,15.04,1890,6.76,868,3.1,0.0335,1169,2026
4713063000,경상북도,경주시,,동천동,eupmyeondong,동천동,19761,5100,25.81,1787,9.04,424,2.15,1244,6.3,13417,67.9,410.0,578,2.92,1526,7.72,2126,10.76,2043,10.34,2388,12.08,4018,20.33,3883,19.65,2241,11.34,958,4.85,0.0516,1275,2026
4713065000,경상북도,경주시,,불국동,eupmyeondong,불국동,9427,3092,32.8,1327,14.08,403,4.27,722,7.66,5613,59.54,428.3,456,4.84,553,5.87,619,6.57,962,10.2,1145,12.15,1652,17.52,1953,20.72,1270,13.47,817,8.67,0.0656,773,2026
4713066000,경상북도,경주시,,보덕동,eupmyeondong,보덕동,1544,670,43.39,293,18.98,85,5.51,53,3.43,821,53.17,1264.2,30,1.94,48,3.11,98,6.35,94,6.09,144,9.33,280,18.13,396,25.65,284,18.39,170,11.01,0.0868,167,2026
4715000000,경상북도,김천시,,,sigungu,김천시,132550,39888,30.09,17168,12.95,5597,4.22,12543,9.46,80119,60.44,318.0,6912,5.21,11979,9.04,10057,7.59,12829,9.68,16880,12.73,21983,16.58,24908,18.79,16645,12.56,10357,7.81,0.0602,9972,2026
4715025000,경상북도,김천시,,아포읍,eupmyeondong,아포읍,7849,2828,36.03,1182,15.06,383,4.88,424,5.4,4597,58.57,667.0,231,2.94,415,5.29,424,5.4,633,8.06,791,10.08,1531,19.51,1972,25.12,1149,14.64,703,8.96,0.1441,707,2026
4715031000,경상북도,김천시,,농소면,eupmyeondong,농소면,2997,1286,42.91,607,20.25,216,7.21,152,5.07,1559,52.02,846.1,77,2.57,149,4.97,163,5.44,185,6.17,259,8.64,547,18.25,711,23.72,525,17.52,381,12.71,0.3218,321,2026
4715032000,경상북도,김천시,,남면,eupmyeondong,남면,2834,1393,49.15,664,23.43,252,8.89,85,3.0,1356,47.85,1638.8,45,1.59,88,3.11,126,4.45,170,6.0,196,6.92,435,15.35,781,27.56,564,19.9,429,15.14,0.3686,348,2026
4715034000,경상북도,김천시,,개령면,eupmyeondong,개령면,2175,1155,53.1,519,23.86,181,8.32,60,2.76,960,44.14,1925.0,31,1.43,79,3.63,75,3.45,102,4.69,139,6.39,319,14.67,621,28.55,496,22.8,313,14.39,0.3982,288,2026
4715035000,경상북도,김천시,,감문면,eupmyeondong,감문면,2971,1694,57.02,808,27.2,336,11.31,53,1.78,1224,41.2,3196.2,30,1.01,68,2.29,78,2.63,94,3.16,180,6.06,430,14.47,885,29.79,653,21.98,553,18.61,0.4277,423,2026
4715036000,경상북도,김천시,,어모면,eupmyeondong,어모면,3902,1761,45.13,806,20.66,273,7.0,208,5.33,1933,49.54,846.6,124,3.18,151,3.87,200,5.13,239,6.13,314,8.05,650,16.66,1008,25.83,713,18.27,503,12.89,0.3385,440,2026
4715037000,경상북도,김천시,,봉산면,eupmyeondong,봉산면,2768,1371,49.53,589,21.28,183,6.61,97,3.5,1300,46.97,1413.4,42,1.52,117,4.23,99,3.58,133,4.8,208,7.51,435,15.72,801,28.94,561,20.27,372,13.44,0.3715,342,2026
4715038000,경상북도,김천시,,대항면,eupmyeondong,대항면,3034,1452,47.86,618,20.37,207,6.82,96,3.16,1486,48.98,1512.5,46,1.52,133,4.38,139,4.58,135,4.45,213,7.02,498,16.41,899,29.63,590,19.45,381,12.56,0.3589,363,2026
4715039000,경상북도,김천시,,감천면,eupmyeondong,감천면,1655,826,49.91,383,23.14,156,9.43,54,3.26,775,46.83,1529.6,27,1.63,56,3.38,50,3.02,74,4.47,117,7.07,286,17.28,470,28.4,339,20.48,236,14.26,0.3743,206,2026
