SERIAL	ADMCD	ADMNM	LAT	LON
4021	4700000000	경상북도	36.3941415	128.6913164
4022	4711100000	경상북도 포항시 남구	35.9629929	129.4307890
4023	4711125000	경상북도 포항시 남구 구룡포읍	35.9843331	129.5288886
4024	4711125300	경상북도 포항시 남구 연일읍	36.0101925	129.3075984
4025	4711125600	경상북도 포항시 남구 오천읍	35.9227019	129.3915072
4026	4711131000	경상북도 포항시 남구 대송면	35.9413697	129.3493734
4027	4711132000	경상북도 포항시 남구 동해면	36.0042107	129.4868197
4028	4711133000	경상북도 포항시 남구 장기면	35.9078188	129.4754644
4029	4711134000	경상북도 포항시 남구 대보면	36.0564788	129.5508104
4030	4711135000	경상북도 포항시 남구 호미곶면	36.0564788	129.5508104
4031	4711151000	경상북도 포항시 남구 상대1동	35.1842372	128.1137144
4032	4711152000	경상북도 포항시 남구 상대2동	35.1842372	128.1137144
4033	4711152500	경상북도 포항시 남구 상대동	36.0147836	129.3592982
4034	4711153000	경상북도 포항시 남구 해도1동	36.0203872	129.3728343
4035	4711154000	경상북도 포항시 남구 해도2동	36.0203872	129.3728343
4036	4711154500	경상북도 포항시 남구 해도동	36.0203872	129.3728343
4037	4711155000	경상북도 포항시 남구 송도동	36.0368494	129.3750222
4038	4711156000	경상북도 포항시 남구 청림동	35.9923800	129.4155987
4039	4711157000	경상북도 포항시 남구 제철동	35.9977643	129.3835588
4040	4711158000	경상북도 포항시 남구 효곡동	36.0200575	129.3216833
4041	4711159000	경상북도 포항시 남구 대이동	36.0255045	129.3380772
4042	4711300000	경상북도 포항시 북구	36.1742936	129.1933960
4043	4711325000	경상북도 포항시 북구 흥해읍	36.1051438	129.3604595
4044	4711331000	경상북도 포항시 북구 신광면	36.1463826	129.2579595
4045	4711332000	경상북도 포항시 북구 청하면	36.1970288	129.3180574
4046	4711333000	경상북도 포항시 북구 송라면	36.2431741	129.3450427
4047	4711334000	경상북도 포항시 북구 기계면	36.0851854	129.1702369
4048	4711335000	경상북도 포항시 북구 죽장면	36.2224444	129.1609132
4049	4711335500	경상북도 포항시 북구 죽장면상옥출장소	36.0190317	129.3433862
4050	4711336000	경상북도 포항시 북구 기북면	36.1544728	129.1842995
4051	4711352000	경상북도 포항시 북구 중앙동	36.0463055	129.3669325
4052	4711356000	경상북도 포항시 북구 학산동	36.0463055	129.3669325
4053	4711363000	경상북도 포항시 북구 양학동	36.0322023	129.3451136
4054	4711364000	경상북도 포항시 북구 죽도1동	36.0254928	129.3581295
4055	4711365000	경상북도 포항시 북구 죽도2동	36.0254928	129.3581295
4056	4711365500	경상북도 포항시 북구 죽도동	36.0254928	129.3581295
4057	4711366500	경상북도 포항시 북구 용흥동	36.0395688	129.3508462
4058	4711368000	경상북도 포항시 북구 우창동	36.0636555	129.3578276
4059	4711369000	경상북도 포항시 북구 두호동	36.0639239	129.3913746
4060	4711370000	경상북도 포항시 북구 장량동	36.0810369	129.3859878
4061	4711371000	경상북도 포항시 북구 환여동	36.0724970	129.3998966
4062	4713000000	경상북도 경주시	35.8595927	129.2078935
4063	4713025000	경상북도 경주시 감포읍	35.7978782	129.4716316
4064	4713025300	경상북도 경주시 안강읍	35.9803039	129.1795915
4065	4713025600	경상북도 경주시 건천읍	35.8370425	129.0892582
4066	4713025900	경상북도 경주시 외동읍	35.7132601	129.3175139
4067	4713031000	경상북도 경주시 양북면	35.8026578	129.4004413
4068	4713031500	경상북도 경주시 문무대왕면	35.8032669	129.4006882
4069	4713032000	경상북도 경주시 양남면	35.7038174	129.4199311
4070	4713033000	경상북도 경주시 내남면	35.7501496	129.1746636
4071	4713034000	경상북도 경주시 산내면	35.7449499	129.0303851
4072	4713035000	경상북도 경주시 서면	35.8925700	129.0621823
4073	4713036000	경상북도 경주시 현곡면	35.8970828	129.1780418
4074	4713037000	경상북도 경주시 강동면	36.0025482	129.2664647
4075	4713038000	경상북도 경주시 천북면	35.9052306	129.2819942
4076	4713051500	경상북도 경주시 중부동	35.8442275	129.2106973
4077	4713052000	경상북도 경주시 성동동	35.8454144	129.2210089
4078	4713053000	경상북도 경주시 황오동	35.8454146	129.2209978
4079	4713055000	경상북도 경주시 성건동	35.8565820	129.1925913
4080	4713056000	경상북도 경주시 탑정동	35.8134323	129.2088078
4081	4713057000	경상북도 경주시 황남동	35.8138767	129.2092600
4082	4713059000	경상북도 경주시 선도동	35.8400105	129.1682471
4083	4713060500	경상북도 경주시 월성동	35.8082574	129.2514157
4084	4713061500	경상북도 경주시 용강동	35.8731552	129.2340251
4085	4713062100	경상북도 경주시 황성동	35.8689725	129.2145518
4086	4713063000	경상북도 경주시 동천동	35.8512058	129.2332812
4087	4713065000	경상북도 경주시 불국동	35.7777179	129.2861351
4088	4713066000	경상북도 경주시 보덕동	35.8482365	129.3188735
4089	4715000000	경상북도 김천시	36.0434954	128.0506972
4090	4715025000	경상북도 김천시 아포읍	36.1493601	128.2349531
4091	4715031000	경상북도 김천시 농소면	36.0883822	128.1778144
4092	4715032000	경상북도 김천시 남면	36.1003500	128.2337520
4093	4715034000	경상북도 김천시 개령면	36.1717670	128.1841692
4094	4715035000	경상북도 김천시 감문면	36.2227086	128.1754778
