emd_code,sido_name,sigungu_name,emd_name,center_lat,center_lon,grid_nx,grid_ny,announce_time,temperature,humidity,feels_like,risk_tier
4729053000,경상북도,경산시,남부동,35.80453396356709,128.7425656978214,91,89,20260823T01:00,24.4,91.0,27.1,양호
4729035000,경상북도,경산시,남산면,35.77680241763709,128.81871488677731,93,89,20260823T01:00,24.4,91.0,27.1,양호
4729037000,경상북도,경산시,남천면,35.753405131605106,128.74618328907758,92,88,20260823T01:00,23.3,98.0,26.5,양호
4729056000,경상북도,경산시,동부동,35.80349620283477,128.7719659822989,92,89,20260823T01:00,24.4,91.0,27.1,양호
4729055000,경상북도,경산시,북부동,35.8356764421743,128.75358029026646,92,90,20260823T01:00,24.4,91.0,27.1,양호
4729054100,경상북도,경산시,서부1동,35.8144976199103,128.7248560663062,91,89,20260823T01:00,24.4,91.0,27.1,양호
4729054200,경상북도,경산시,서부2동,35.83534140574018,128.72752358503934,91,90,20260823T01:00,24.4,91.0,27.1,양호
4729054000,경상북도,경산시,서부동,35.8144976199103,128.7248560663062,91,89,20260823T01:00,24.4,91.0,27.1,양호
4729036000,경상북도,경산시,압량면,35.84204571898732,128.7728912761631,92,90,20260823T01:00,24.4,91.0,27.1,양호
4729025600,경상북도,경산시,압량읍,35.84270140682071,128.77227061779064,92,90,20260823T01:00,24.4,91.0,27.1,양호
4729031000,경상북도,경산시,와촌면,35.950642744296054,128.80003294675518,92,92,20260823T01:00,23.0,96.0,26.0,양호
4729034000,경상북도,경산시,용성면,35.79863777542923,128.89617475613613,94,89,20260823T01:00,23.2,99.0,26.4,양호
4729033000,경상북도,경산시,자인면,35.82277824757171,128.82963705156416,93,90,20260823T01:00,23.0,96.0,26.0,양호
4729051000,경상북도,경산시,중방동,35.8286566003638,128.7349818810409,91,90,20260823T01:00,24.4,91.0,27.1,양호
4729052000,경상북도,경산시,중앙동,35.82341935894668,128.73928442888794,91,90,20260823T01:00,24.4,91.0,27.1,양호
4729025300,경상북도,경산시,진량읍,35.86952619198428,128.82609799503464,93,91,20260823T01:00,23.0,96.0,26.0,양호
4729025000,경상북도,경산시,하양읍,35.90559484832111,128.78648564543127,92,91,20260823T01:00,23.0,96.0,26.0,양호
4713025000,경상북도,경주시,감포읍,35.79787815865523,129.47163157360646,104,90,20260823T01:00,23.4,96.0,26.4,양호
4713037000,경상북도,경주시,강동면,36.0025481512346,129.26646465912228,101,94,20260823T01:00,26.5,86.0,28.9,양호
4713025600,경상북도,경주시,건천읍,35.837042540956745,129.08925816831913,98,90,20260823T01:00,24.9,92.0,27.7,양호
4713033000,경상북도,경주시,내남면,35.75014957905736,129.1746635575785,99,88,20260823T01:00,24.9,92.0,27.7,양호
4713063000,경상북도,경주시,동천동,35.851205819310856,129.23328119053272,100,90,20260823T01:00,24.9,92.0,27.7,양호
4713031500,경상북도,경주시,문무대왕면,35.80326691735365,129.400688239,103,90,20260823T01:00,23.4,96.0,26.4,양호
4713066000,경상북도,경주시,보덕동,35.848236520865115,129.31887351406235,102,90,20260823T01:00,22.8,99.0,26.0,양호
4713065000,경상북도,경주시,불국동,35.777717930407036,129.28613514067615,101,89,20260823T01:00,24.0,98.0,27.2,양호
4713034000,경상북도,경주시,산내면,35.74494994184253,129.03038509623138,97,88,20260823T01:00,23.2,99.0,26.4,양호
4713035000,경상북도,경주시,서면,35.89256996418077,129.0621823244621,97,91,20260823T01:00,23.2,99.0,26.4,양호
4713059000,경상북도,경주시,선도동,35.84001047263759,129.16824707419113,99,90,20260823T01:00,24.9,92.0,27.7,양호
4713055000,경상북도,경주시,성건동,35.85658197553702,129.19259131798032,99,91,20260823T01:00,24.7,91.0,27.4,양호
4713052000,경상북도,경주시,성동동,35.845414415474245,129.221008916047,100,90,20260823T01:00,24.9,92.0,27.7,양호
4713025300,경상북도,경주시,안강읍,35.9803039377097,129.17959152748574,99,93,20260823T01:00,24.1,94.0,27.0,양호
4713032000,경상북도,경주시,양남면,35.703817427345854,129.41993112173523,103,87,20260823T01:00,23.1,96.0,26.1,양호
4713031000,경상북도,경주시,양북면,35.80265782475873,129.4004413391391,103,90,20260823T01:00,23.4,96.0,26.4,양호
4713025900,경상북도,경주시,외동읍,35.71326006711307,129.31751387314316,102,88,20260823T01:00,24.0,98.0,27.2,양호
4713061500,경상북도,경주시,용강동,35.873155246894115,129.23402510368956,100,91,20260823T01:00,24.7,91.0,27.4,양호
4713060500,경상북도,경주시,월성동,35.80825740827305,129.25141568947214,100,90,20260823T01:00,24.9,92.0,27.7,양호
4713051500,경상북도,경주시,중부동,35.84422748897717,129.21069731585567,100,90,20260823T01:00,24.9,92.0,27.7,양호
4713038000,경상북도,경주시,천북면,35.90523062869982,129.2819941604731,101,92,20260823T01:00,23.4,96.0,26.4,양호
4713056000,경상북도,경주시,탑정동,35.81343233821345,129.20880780882084,100,90,20260823T01:00,24.9,92.0,27.7,양호
4713036000,경상북도,경주시,현곡면,35.8970827503724,129.17804175781583,99,91,20260823T01:00,24.7,91.0,27.4,양호
4713057000,경상북도,경주시,황남동,35.81387665446834,129.20926004593352,100,90,20260823T01:00,24.9,92.0,27.7,양호
4713062100,경상북도,경주시,황성동,35.86897248144162,129.21455182307696,100,91,20260823T01:00,24.7,91.0,27.4,양호
4713053000,경상북도,경주시,황오동,35.84541457404319,129.2209978472506,100,90,20260823T01:00,24.9,92.0,27.7,양호
4783035000,경상북도,고령군,개진면,35.706435888507414,128.39892225746897,85,87,20260823T01:00,25.7,100.0,29.1,양호
4783025000,경상북도,고령군,고령읍,35.73063565517672,128.2616164309396,83,87,20260823T01:00,24.1,100.0,27.4,양호
4783034000,경상북도,고령군,다산면,35.81591097351385,128.42461778999348,86,89,20260823T01:00,25.8,93.0,28.7,양호
4783025300,경상북도,고령군,대가야읍,35.73063565517672,128.2616164309396,83,87,20260823T01:00,24.1,100.0,27.4,양호
4783031000,경상북도,고령군,덕곡면,35.78607917170875,128.20480474059954,82,88,20260823T01:00,24.1,100.0,27.4,양호
4783033000,경상북도,고령군,성산면,35.75867086613374,128.35996513498966,85,88,20260823T01:00,25.8,93.0,28.7,양호
4783037000,경상북도,고령군,쌍림면,35.688954706305545,128.23983470107441,83,86,20260823T01:00,24.1,100.0,27.4,양호
4783036000,경상북도,고령군,우곡면,35.658506688618786,128.33762333426773,84,86,20260823T01:00,24.1,100.0,27.4,양호
4783032000,경상북도,고령군,운수면,35.7828745800424,128.29096037007002,83,88,20260823T01:00,24.1,100.0,27.4,양호
