sigungu,lat,lon,shelter_name,shelter_type,road_address,lot_address,area_m2,capacity,fans,aircons,rest_area,night_open,weekend_open,stay_open
안동시,36.7428476,128.7737158,녹전면행정복지센터,공공시설,경상북도 안동시 녹전면 녹전로 713,-,297.9,20,1,1,-,아니오,아니오,아니오
의성군,36.3431818,128.5890913,도옥경로당,특정계층이용시설,경상북도 의성군 안평면 봉호로 518,-,75.67,23,2,1,-,아니오,아니오,아니오
김천시,35.9179392,127.9686588,대덕면행정복지센터,공공시설,경상북도 김천시 대덕면 남김천대로 721,-,300,30,10,5,-,-,-,-
김천시,36.1214167,128.183713,율곡동행정복지센터,공공시설,경상북도 김천시 혁신4로 21  (율곡동),-,300,30,10,5,-,-,-,-
김천시,36.1415073,128.0602509,봉산면행정복지센터,공공시설,경상북도 김천시 봉산면 예지송정길 11,-,300,30,10,5,-,-,-,-
김천시,36.1353533,128.1158853,대신동행정복지센터,공공시설,경상북도 김천시 신양1길 22  (신음동),-,300,30,10,5,-,-,-,-
김천시,36.1805886,128.118711,어모면행정복지센터,공공시설,경상북도 김천시 어모면 어모로 279,-,300,30,10,5,-,아니오,아니오,아니오
김천시,36.1205609,128.1161159,평화남산동행정복지센터,공공시설,경상북도 김천시 평화순환길 291  (평화동),-,300,30,10,5,-,-,-,-
김천시,35.9019892,128.0352366,증산면행정복지센터,공공시설,경상북도 김천시 증산면 증산로 945-7,-,300,30,10,3,-,-,-,-
김천시,36.1104378,128.1233177,양금동행정복지센터,공공시설,경상북도 김천시 강변로 178  (황금동),-,300,30,10,5,-,-,-,-
김천시,36.1244716,128.0221528,대항면행정복지센터,공공시설,경상북도 김천시 대항면 황악로 1563,-,300,30,10,5,-,-,-,-
김천시,36.1598754,128.2534236,아포읍행정복지센터,공공시설,경상북도 김천시 아포읍 국사길 63,-,1000,30,10,10,-,-,-,-
김천시,36.1078873,128.1895736,남면행정복지센터,공공시설,경상북도 김천시 남면 옥산길 44,-,300,30,10,5,-,-,-,-
김천시,36.0660014,128.1255198,감천면행정복지센터,공공시설,경상북도 김천시 감천면 금감로 1552,-,300,30,10,5,-,-,-,-
김천시,35.9848106,128.0266616,지례면행정복지센터,공공시설,경상북도 김천시 지례면 상부길 101,-,300,30,10,5,-,-,-,-
김천시,36.1245019,128.0892751,대곡동행정복지센터,공공시설,경상북도 김천시 부곡길 2  (부곡동),-,300,30,10,5,-,아니오,아니오,아니오
김천시,36.0349346,128.0990195,조마면행정복지센터,공공시설,경상북도 김천시 조마면 강곡1길 32,-,300,30,10,5,-,-,-,-
김천시,36.0328024,128.0474675,구성면행정복지센터,공공시설,경상북도 김천시 구성면 상좌원1길 18,-,300,30,10,5,-,아니오,아니오,아니오
김천시,36.122331,128.127805,자산동행정복지센터,공공시설,경상북도 김천시 용암로 27  (모암동),-,300,30,10,5,-,-,-,-
김천시,36.1199976,128.142356,지좌동행정복지센터,공공시설,경상북도 김천시 영남대로 1940  (지좌동),-,300,30,10,5,-,아니오,아니오,아니오
안동시,36.5802875,128.571775,풍산읍보건지소,공공시설,경상북도 안동시 풍산읍 풍산중앙길 99,-,383.75,20,1,1,-,아니오,아니오,아니오
