SERIAL	ADMCD	ADMNM	X	Y
4021	4700000000	경상북도	1106836	1822510
4022	4711100000	경상북도 포항시 남구	1174109	1775752
4023	4711125000	경상북도 포항시 남구 구룡포읍	1182907	1778299
4024	4711125300	경상북도 포항시 남구 연일읍	1162902	1780775
4025	4711125600	경상북도 포항시 남구 오천읍	1170653	1771213
4026	4711131000	경상북도 포항시 남구 대송면	1166812	1773211
4027	4711132000	경상북도 포항시 남구 동해면	1179069	1780426
4028	4711133000	경상북도 포항시 남구 장기면	1178262	1769712
4029	4711134000	경상북도 포항시 남구 대보면	1184715	1786344
4030	4711135000	경상북도 포항시 남구 호미곶면	1184715	1786344
4031	4711151000	경상북도 포항시 남구 상대1동	1055877	1687832
4032	4711152000	경상북도 포항시 남구 상대2동	1055877	1687832
4033	4711152500	경상북도 포항시 남구 상대동	1167552	1781372
4034	4711153000	경상북도 포항시 남구 해도1동	1168760	1782017
4035	4711154000	경상북도 포항시 남구 해도2동	1168760	1782017
4036	4711154500	경상북도 포항시 남구 해도동	1168760	1782017
4037	4711155000	경상북도 포항시 남구 송도동	1168922	1783847
4038	4711156000	경상북도 포항시 남구 청림동	1172675	1778985
4039	4711157000	경상북도 포항시 남구 제철동	1169775	1779526
4040	4711158000	경상북도 포항시 남구 효곡동	1164151	1781893
4041	4711159000	경상북도 포항시 남구 대이동	1165617	1782525
4042	4711300000	경상북도 포항시 북구	1152292	1798794
4043	4711325000	경상북도 포항시 북구 흥해읍	1167465	1791398
4044	4711331000	경상북도 포항시 북구 신광면	1158155	1795801
4045	4711332000	경상북도 포항시 북구 청하면	1163457	1801519
4046	4711333000	경상북도 포항시 북구 송라면	1165786	1806684
4047	4711334000	경상북도 포항시 북구 기계면	1150379	1788873
4048	4711335000	경상북도 포항시 북구 죽장면	1149279	1804085
4049	4711335500	경상북도 포항시 북구 죽장면상옥출장소	1166109	1781816
4050	4711336000	경상북도 포항시 북구 기북면	1151512	1796581
4051	4711352000	경상북도 포항시 북구 중앙동	1168173	1784882
4052	4711356000	경상북도 포항시 북구 학산동	1168173	1784882
4053	4711363000	경상북도 포항시 북구 양학동	1166237	1783280
4054	4711364000	경상북도 포항시 북구 죽도1동	1167424	1782558
4055	4711365000	경상북도 포항시 북구 죽도2동	1167424	1782558
